user,date,anomaly_score,severity,flagged_count,top_feature,explanation
AHM0410,2010-12-06,0.5473152557541157,MEDIUM,0,,No significant behavioral deviations detected.
CAA0612,2010-12-06,0.6321940150634928,MEDIUM,1,unique_recipients_count,unique_recipients_count is rare for this day (99th percentile)
SKG0759,2010-12-06,0.5598172969616505,MEDIUM,0,,No significant behavioral deviations detected.
PLH0715,2010-12-06,0.5656368645447849,MEDIUM,0,,No significant behavioral deviations detected.
SJW0451,2010-12-06,0.5412169848174408,MEDIUM,0,,No significant behavioral deviations detected.
HGN0287,2010-12-06,0.5272977545905196,MEDIUM,0,,No significant behavioral deviations detected.
KWE0082,2010-12-06,0.541021271183058,MEDIUM,0,,No significant behavioral deviations detected.
GCG0951,2010-12-06,0.5650170074736683,MEDIUM,1,avg_email_size_kb,avg_email_size_kb is rare for this day (99th percentile)
ELH0960,2010-12-06,0.5555518602101783,MEDIUM,0,,No significant behavioral deviations detected.
JCC0225,2010-12-06,0.5905357224686678,MEDIUM,0,,No significant behavioral deviations detected.
YDN0198,2010-12-06,0.5767789085453511,MEDIUM,0,,No significant behavioral deviations detected.
TEM0093,2010-12-06,0.5549585797268188,MEDIUM,0,,No significant behavioral deviations detected.
LJJ0905,2010-12-06,0.5980297101570502,MEDIUM,1,after_hours_email_count,after_hours_email_count deviates strongly from user's baseline (4.8σ)
KJS0618,2010-12-06,0.5699858261327438,MEDIUM,0,,No significant behavioral deviations detected.
BEC0505,2010-12-06,0.558881164885423,MEDIUM,0,,No significant behavioral deviations detected.
NJC0705,2010-12-06,0.6035740938708115,MEDIUM,0,,No significant behavioral deviations detected.
JAV0361,2010-12-06,0.583073130313165,MEDIUM,0,,No significant behavioral deviations detected.
BYP0070,2010-12-06,0.5607648936237649,MEDIUM,1,after_hours_email_count,after_hours_email_count deviates strongly from user's baseline (10.3σ)
ASG0692,2010-12-06,0.549267846860052,MEDIUM,0,,No significant behavioral deviations detected.
NWT0098,2010-12-06,0.574315194309977,MEDIUM,0,,No significant behavioral deviations detected.
MLM0950,2010-12-06,0.5564341706888045,MEDIUM,0,,No significant behavioral deviations detected.
SBN0495,2010-12-06,0.5799892434739962,MEDIUM,0,,No significant behavioral deviations detected.
JBM0350,2010-12-06,0.5430242140168319,MEDIUM,0,,No significant behavioral deviations detected.
RGN0408,2010-12-06,0.5935987090860809,MEDIUM,1,after_hours_email_count,
VSA0230,2010-12-06,0.6097985050627157,MEDIUM,0,,No significant behavioral deviations detected.
MJS0890,2010-12-06,0.6103495839537728,MEDIUM,1,after_hours_email_count,after_hours_email_count deviates strongly from user's baseline (3.3σ)
MSH0040,2010-12-06,0.5929273111690628,MEDIUM,0,,No significant behavioral deviations detected.
WIQ0567,2010-12-06,0.5734992727589814,MEDIUM,0,,No significant behavioral deviations detected.
ELB0847,2010-12-06,0.506856704330227,MEDIUM,0,,No significant behavioral deviations detected.
DAG0558,2010-12-06,0.5633992542058676,MEDIUM,0,,No significant behavioral deviations detected.
GCL0016,2010-12-06,0.6363801543219892,MEDIUM,1,after_hours_email_count,after_hours_email_count is rare for this day (95th percentile)
CXC0336,2010-12-06,0.5624210893625006,MEDIUM,1,avg_email_size_kb,avg_email_size_kb is rare for this day (98th percentile)
MAH0864,2010-12-06,0.5525283136296177,MEDIUM,0,,No significant behavioral deviations detected.
KVT0028,2010-12-06,0.5781579031968639,MEDIUM,0,,No significant behavioral deviations detected.
RHP0484,2010-12-06,0.6143866422396994,MEDIUM,0,,No significant behavioral deviations detected.
AMJ0297,2010-12-06,0.5504993358252489,MEDIUM,0,,No significant behavioral deviations detected.
VMJ0546,2010-12-06,0.5792169275357072,MEDIUM,1,unique_recipients_count,
JML0909,2010-12-06,0.5449219557469521,MEDIUM,0,,No significant behavioral deviations detected.
BMM0112,2010-12-06,0.5932731103635287,MEDIUM,1,after_hours_email_count,after_hours_email_count deviates strongly from user's baseline (3.3σ)
MSZ0310,2010-12-06,0.5436905496400355,MEDIUM,0,,No significant behavioral deviations detected.
SLP0762,2010-12-06,0.5791557233223473,MEDIUM,0,,No significant behavioral deviations detected.
GDF0704,2010-12-06,0.538047260519331,MEDIUM,0,,No significant behavioral deviations detected.
TDJ0998,2010-12-06,0.6061718201942314,MEDIUM,0,,No significant behavioral deviations detected.
NIH0969,2010-12-06,0.5588482953645889,MEDIUM,0,,No significant behavioral deviations detected.
EHR0096,2010-12-06,0.5491643830370645,MEDIUM,0,,No significant behavioral deviations detected.
UAD0771,2010-12-06,0.5963234361148105,MEDIUM,0,,No significant behavioral deviations detected.
KVS0425,2010-12-06,0.5843999251412832,MEDIUM,0,,No significant behavioral deviations detected.
DBG0261,2010-12-06,0.48947530092737523,LOW,0,,No significant behavioral deviations detected.
HDS0367,2010-12-06,0.5617305326464828,MEDIUM,0,,No significant behavioral deviations detected.
JAJ0849,2010-12-06,0.5526900144392167,MEDIUM,1,avg_email_size_kb,avg_email_size_kb is rare for this day (99th percentile)
KAT0270,2010-12-06,0.5559809985317401,MEDIUM,0,,No significant behavioral deviations detected.
AIM0627,2010-12-06,0.617054575607949,MEDIUM,1,unique_recipients_count,unique_recipients_count is rare for this day (98th percentile)
WDD0366,2010-12-06,0.5705456543777248,MEDIUM,0,,No significant behavioral deviations detected.
PIS0522,2010-12-06,0.5251963349546032,MEDIUM,0,,No significant behavioral deviations detected.
CAM0681,2010-12-06,0.5867132915510347,MEDIUM,1,avg_email_size_kb,
IAR0694,2010-12-06,0.5625754240647147,MEDIUM,0,,No significant behavioral deviations detected.
AMH0794,2010-12-06,0.5774641254781054,MEDIUM,0,,No significant behavioral deviations detected.
XRS0633,2010-12-06,0.5223934277054958,MEDIUM,0,,No significant behavioral deviations detected.
RHY0079,2010-12-06,0.5757671009399759,MEDIUM,0,,No significant behavioral deviations detected.
XWD0923,2010-12-06,0.5441984432528667,MEDIUM,0,,No significant behavioral deviations detected.
KAT0489,2010-12-06,0.5772904646135952,MEDIUM,0,,No significant behavioral deviations detected.
GCS0571,2010-12-06,0.5397831838695154,MEDIUM,0,,No significant behavioral deviations detected.
OCB0805,2010-12-06,0.570240045733796,MEDIUM,0,,No significant behavioral deviations detected.
WJD0576,2010-12-06,0.4960201588659098,LOW,0,,No significant behavioral deviations detected.
BDI0533,2010-12-06,0.5461442253357152,MEDIUM,0,,No significant behavioral deviations detected.
GCS0518,2010-12-06,0.515300660661556,MEDIUM,0,,No significant behavioral deviations detected.
CRK0916,2010-12-06,0.5591424935381993,MEDIUM,0,,No significant behavioral deviations detected.
ASL0378,2010-12-06,0.538748880753763,MEDIUM,0,,No significant behavioral deviations detected.
EIP0997,2010-12-06,0.5563824026295972,MEDIUM,0,,No significant behavioral deviations detected.
MSS0001,2010-12-06,0.570097715576763,MEDIUM,0,,No significant behavioral deviations detected.
DBB0384,2010-12-06,0.5309121947961449,MEDIUM,0,,No significant behavioral deviations detected.
TDS0984,2010-12-06,0.5498659128632533,MEDIUM,0,,No significant behavioral deviations detected.
AIH0675,2010-12-06,0.5187619044829969,MEDIUM,0,,No significant behavioral deviations detected.
HWW0436,2010-12-06,0.530724269970308,MEDIUM,0,,No significant behavioral deviations detected.
MJM0510,2010-12-06,0.5042494021385804,MEDIUM,0,,No significant behavioral deviations detected.
AIB0948,2010-12-06,0.5479505239557401,MEDIUM,0,,No significant behavioral deviations detected.
CAB0614,2010-12-06,0.5473852934014058,MEDIUM,0,,No significant behavioral deviations detected.
KJW0416,2010-12-06,0.5627179779737297,MEDIUM,0,,No significant behavioral deviations detected.
SLB0049,2010-12-06,0.6004852267942066,MEDIUM,1,avg_email_size_kb,
HFB0347,2010-12-06,0.5600524051195592,MEDIUM,0,,No significant behavioral deviations detected.
EIM0156,2010-12-06,0.5511099329102288,MEDIUM,0,,No significant behavioral deviations detected.
JAM0382,2010-12-06,0.5407288754781223,MEDIUM,0,,No significant behavioral deviations detected.
FGW0853,2010-12-06,0.5186759145763145,MEDIUM,0,,No significant behavioral deviations detected.
SBH0537,2010-12-06,0.550432349279542,MEDIUM,1,avg_email_size_kb,
PKB0281,2010-12-06,0.5608216891037588,MEDIUM,0,,No significant behavioral deviations detected.
LJT0817,2010-12-06,0.6052832703718749,MEDIUM,0,,No significant behavioral deviations detected.
CKH0144,2010-12-06,0.5292204627761634,MEDIUM,0,,No significant behavioral deviations detected.
BDB0453,2010-12-06,0.5548752809396466,MEDIUM,0,,No significant behavioral deviations detected.
CAM0102,2010-12-06,0.5134924256929632,MEDIUM,0,,No significant behavioral deviations detected.
RHO0732,2010-12-06,0.5446442550268588,MEDIUM,0,,No significant behavioral deviations detected.
WKD0013,2010-12-06,0.6076978483246199,MEDIUM,0,,No significant behavioral deviations detected.
BXJ0010,2010-12-06,0.5178020108814065,MEDIUM,0,,No significant behavioral deviations detected.
AMR0318,2010-12-06,0.5882730429075549,MEDIUM,0,,No significant behavioral deviations detected.
YIC0195,2010-12-06,0.5783322900183333,MEDIUM,0,,No significant behavioral deviations detected.
SJF0094,2010-12-06,0.5358890320289251,MEDIUM,0,,No significant behavioral deviations detected.
HJA0018,2010-12-06,0.5582062044393759,MEDIUM,0,,No significant behavioral deviations detected.
JCR0770,2010-12-06,0.4959789660983759,LOW,0,,No significant behavioral deviations detected.
PMV0850,2010-12-06,0.6369918644761842,MEDIUM,2,after_hours_email_count,avg_email_size_kb is rare for this day (99th percentile)
KJJ0293,2010-12-06,0.5604992921359497,MEDIUM,0,,No significant behavioral deviations detected.
HRB0351,2010-12-06,0.5725286431970189,MEDIUM,0,,No significant behavioral deviations detected.
MKL0941,2010-12-06,0.5244989676863032,MEDIUM,0,,No significant behavioral deviations detected.
TUC0632,2010-12-06,0.5448427349126583,MEDIUM,0,,No significant behavioral deviations detected.
BTW0005,2010-12-06,0.6211803682430412,MEDIUM,1,unique_recipients_count,unique_recipients_count is rare for this day (100th percentile)
NUL0471,2010-12-06,0.5204337418523944,MEDIUM,0,,No significant behavioral deviations detected.
NKH0979,2010-12-06,0.5943276752902291,MEDIUM,0,,No significant behavioral deviations detected.
LIM0674,2010-12-06,0.5371156083388604,MEDIUM,0,,No significant behavioral deviations detected.
QNP0216,2010-12-06,0.5471346167053538,MEDIUM,0,,No significant behavioral deviations detected.
JCR0289,2010-12-06,0.5293086113306131,MEDIUM,0,,No significant behavioral deviations detected.
GAF0570,2010-12-06,0.55942002915077,MEDIUM,0,,No significant behavioral deviations detected.
ASD0577,2010-12-06,0.5328731938961916,MEDIUM,0,,No significant behavioral deviations detected.
CLS0296,2010-12-06,0.5537576031265525,MEDIUM,1,avg_email_size_kb,avg_email_size_kb is rare for this day (98th percentile)
JLW0053,2010-12-06,0.6017588266798197,MEDIUM,0,,No significant behavioral deviations detected.
MPT0376,2010-12-06,0.5375889076941732,MEDIUM,0,,No significant behavioral deviations detected.
WIF0691,2010-12-06,0.6034591157233998,MEDIUM,0,,No significant behavioral deviations detected.
EMW0772,2010-12-06,0.5515401459996129,MEDIUM,0,,No significant behavioral deviations detected.
AGB0643,2010-12-06,0.6100840768945708,MEDIUM,0,,No significant behavioral deviations detected.
RDT0424,2010-12-06,0.4947391894635536,LOW,0,,No significant behavioral deviations detected.
KJM0887,2010-12-06,0.4928984448045529,LOW,0,,No significant behavioral deviations detected.
ENC0234,2010-12-06,0.5870724986166193,MEDIUM,0,,No significant behavioral deviations detected.
BHC0665,2010-12-06,0.4930610595362343,LOW,0,,No significant behavioral deviations detected.
