user,date,anomaly_score,severity,flagged_count,top_feature,explanation
AAE0190,2010-03-23,0.7231194879304457,HIGH,3,unique_recipients_count,unique_recipients_count is rare for this day (99th percentile); after_hours_email_count deviates strongly from user's baseline (5.9σ)
AAE0190,2010-05-05,0.7005871277603084,HIGH,3,external_recipient_ratio,after_hours_email_count deviates strongly from user's baseline (3.8σ)
AAE0190,2010-06-10,0.7204324581905592,HIGH,3,after_hours_email_count,after_hours_email_count deviates strongly from user's baseline (5.4σ)
AAE0190,2010-11-30,0.7285052524748589,HIGH,4,unique_recipients_count,unique_recipients_count is rare for this day (98th percentile); after_hours_email_count deviates strongly from user's baseline (3.3σ)
AAE0190,2011-04-26,0.7176578945782509,HIGH,3,unique_recipients_count,unique_recipients_count is rare for this day (96th percentile); after_hours_email_count deviates strongly from user's baseline (4.9σ)
AAN0823,2010-05-10,0.7015974997185856,HIGH,2,after_hours_email_count,after_hours_email_count is rare for this day (95th percentile); avg_email_size_kb is rare for this day (99th percentile)
ABM0845,2010-06-24,0.7401824235996601,HIGH,4,unique_recipients_count,unique_recipients_count deviates strongly from user's baseline (3.4σ); after_hours_email_count is rare for this day (95th percentile); avg_email_size_kb deviates strongly from user's baseline (3.6σ)
ADC0391,2011-02-24,0.7120185209525062,HIGH,2,unique_recipients_count,after_hours_email_count deviates strongly from user's baseline (3.2σ)
AHD0848,2010-01-18,0.7290038156353852,HIGH,3,after_hours_email_count,after_hours_email_count is rare for this day (95th percentile); conscientiousness deviates strongly from user's baseline (4.0σ); extraversion is rare for this day (99th percentile)
AHD0848,2010-02-04,0.735893426788471,HIGH,5,unique_recipients_count,unique_recipients_count deviates strongly from user's baseline (3.4σ); after_hours_email_count is rare for this day (95th percentile); avg_email_size_kb is rare for this day (98th percentile)
AHD0848,2010-02-18,0.7043426863760335,HIGH,3,after_hours_email_count,after_hours_email_count is rare for this day (95th percentile); conscientiousness deviates strongly from user's baseline (4.0σ); extraversion is rare for this day (99th percentile)
AHD0848,2010-03-06,0.7078491093852418,HIGH,3,after_hours_email_count,after_hours_email_count is rare for this day (96th percentile); conscientiousness deviates strongly from user's baseline (4.0σ); extraversion is rare for this day (99th percentile)
AHD0848,2010-03-10,0.7141200910464709,HIGH,3,after_hours_email_count,after_hours_email_count is rare for this day (95th percentile); conscientiousness deviates strongly from user's baseline (4.0σ); extraversion is rare for this day (99th percentile)
AHD0848,2010-03-11,0.711052216725504,HIGH,2,conscientiousness,conscientiousness deviates strongly from user's baseline (4.0σ); extraversion is rare for this day (99th percentile)
AHD0848,2010-04-19,0.7061802373546028,HIGH,2,conscientiousness,conscientiousness deviates strongly from user's baseline (4.0σ); extraversion is rare for this day (99th percentile)
